timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706186633108,2388,getUserSpecificPermissions,200,OK,5 users sequential 1-1,text,true,,877,3069,3,3,https://apis.dna-staging.hashedin.com/pulse/gql/,2388,0,1021
1706186634115,1841,getUserSpecificPermissions,200,OK,5 users sequential 1-2,text,true,,877,3069,3,3,https://apis.dna-staging.hashedin.com/pulse/gql/,1841,0,631
1706186635498,685,getUserOrganisationList,200,OK,5 users sequential 1-1,text,true,,2779,3265,4,4,https://apis.dna-staging.hashedin.com/org_directory/gql/,685,0,0
1706186635101,1777,getUserSpecificPermissions,200,OK,5 users sequential 1-3,text,true,,877,3069,4,4,https://apis.dna-staging.hashedin.com/pulse/gql/,1777,0,742
1706186635958,1104,getUserOrganisationList,200,OK,5 users sequential 1-2,text,true,,2779,3265,4,4,https://apis.dna-staging.hashedin.com/org_directory/gql/,1104,0,0
1706186636184,940,CAM Specific getUserSpecificPermissions,200,OK,5 users sequential 1-1,text,true,,1060,3277,5,5,https://apis.dna-staging.hashedin.com/cam/gql/,940,0,0
1706186636879,650,getUserOrganisationList,200,OK,5 users sequential 1-3,text,true,,2779,3265,5,5,https://apis.dna-staging.hashedin.com/org_directory/gql/,650,0,0
1706186636108,1619,getUserSpecificPermissions,200,OK,5 users sequential 1-4,text,true,,877,3069,5,5,https://apis.dna-staging.hashedin.com/pulse/gql/,1619,0,613
1706186637063,1046,CAM Specific getUserSpecificPermissions,200,OK,5 users sequential 1-2,text,true,,1060,3277,5,5,https://apis.dna-staging.hashedin.com/cam/gql/,1046,0,0
1706186637728,688,getUserOrganisationList,200,OK,5 users sequential 1-4,text,true,,2779,3265,5,5,https://apis.dna-staging.hashedin.com/org_directory/gql/,688,0,0
1706186637531,976,CAM Specific getUserSpecificPermissions,200,OK,5 users sequential 1-3,text,true,,1060,3277,5,5,https://apis.dna-staging.hashedin.com/cam/gql/,976,0,0
1706186637102,1584,getUserSpecificPermissions,200,OK,5 users sequential 1-5,text,true,,877,3069,5,5,https://apis.dna-staging.hashedin.com/pulse/gql/,1584,0,627
1706186637129,1957,getUserSpecificPermissions,200,OK,5 users sequential 1-1,text,true,,877,3069,5,5,https://apis.dna-staging.hashedin.com/pulse/gql/,1957,0,617
1706186638687,903,getUserOrganisationList,200,OK,5 users sequential 1-5,text,true,,2779,3265,5,5,https://apis.dna-staging.hashedin.com/org_directory/gql/,903,0,0
